Date, Time, Luminance, SolarRadiation, ClearSkyRadiation 
2015-12-02,16-56-01,3280.642432,11.0,133.6474520310665
2015-12-02,16-58-01,3559.93828924,11.0,126.87451499842538
2015-12-02,17-00-01,4622.34721867,11.0,120.18069894530858
2015-12-02,17-02-01,4793.85648933,11.0,113.57000029165329
2015-12-02,17-04-01,5107.50192911,12.0,107.04661898750966
2015-12-02,17-06-01,5308.27382933,12.0,100.61499318700824
2015-12-02,17-08-01,7134.72576111,14.0,94.27982491091466
2015-12-02,17-10-01,9179.83440222,16.0,88.04612393345872
2015-12-02,17-12-01,12332.5030533,18.0,81.9192367927387
2015-12-02,17-14-01,11131.6753422,16.0,75.904905228802
2015-12-02,17-16-01,8531.80528689,16.0,70.00932374543537
2015-12-02,17-18-01,8292.77843111,16.0,64.23921178039066
2015-12-02,17-20-01,6523.50610933,14.0,58.60190149371942
2015-12-02,17-22-01,5428.07320089,14.0,53.105443540028645
2015-12-02,17-24-01,4747.43519422,14.0,47.75874749577281
2015-12-02,17-26-01,4377.96377244,14.0,42.57173672832146
2015-12-02,17-28-01,3844.38893867,12.0,37.55556464095788
2015-12-02,17-30-01,3591.11274089,12.0,32.72287657300297
2015-12-02,17-32-01,3134.33408911,12.0,28.08815675143118
2015-12-02,17-34-01,2702.33174133,12.0,23.668160691079432
2015-12-02,17-36-00,2562.43817333,12.0,19.516355126438786
2015-12-02,17-38-01,2104.77426258,12.0,15.554443754770823
2015-12-02,17-40-01,1956.13012427,11.0,11.911972161048803
2015-12-03,08-20-01,144706.161963,234.0,500.98631997783025
2015-12-03,08-22-01,136828.146802,246.0,508.54558692530514
2015-12-03,08-24-01,144351.196512,253.0,516.0753421454227
2015-12-03,08-26-01,143154.1108,260.0,523.5741779533159
2015-12-03,08-28-01,143877.323648,269.0,531.0407010847808
2015-12-03,08-30-01,160296.061044,272.0,538.4735375599646
2015-12-03,08-32-01,161616.412456,281.0,545.8713226089985
2015-12-03,08-34-01,137148.82258,292.0,553.2327155993381
2015-12-03,08-36-01,133155.577803,302.0,560.5563898945958
2015-12-03,08-38-01,160216.899913,311.0,567.8410353373341
2015-12-03,08-40-01,161561.731938,316.0,575.0853581737828
2015-12-03,08-42-01,157450.737742,325.0,582.2880809796512
2015-12-03,08-44-00,160702.196318,331.0,589.3884603989997
2015-12-03,08-46-01,159487.953222,336.0,596.5637008043698
2015-12-03,08-48-01,137431.909844,343.0,603.6341220695699
2015-12-03,08-50-01,159823.829333,341.0,610.6579965577057
2015-12-03,08-52-01,157054.852313,343.0,617.6341282118644
2015-12-03,08-54-01,159726.888802,357.0,624.5613395659237
2015-12-03,08-56-01,160758.282491,367.0,631.4384624048853
2015-12-03,08-58-01,156195.924442,371.0,638.2643518137065
2015-12-03,09-00-00,156216.550309,366.0,644.981650502096
2015-12-03,09-02-01,165764.119473,375.0,651.7579227646859
2015-12-03,09-04-01,159906.140069,394.0,658.4233914014643
2015-12-03,09-06-01,165454.40476,401.0,665.0332008324889
2015-12-03,09-08-02,168227.873816,412.0,671.6406552982112
2015-12-03,09-10-01,165164.69706,425.0,678.0815990574205
2015-12-03,09-12-01,154709.26248,432.0,684.5181043414988
2015-12-03,09-14-01,155664.802471,438.0,690.8947879270416
2015-12-03,09-16-01,153136.936282,445.0,697.2106528272526
2015-12-03,09-18-01,153978.686198,448.0,703.4647124604912
2015-12-03,09-20-01,166028.447384,452.0,709.6560034288492
2015-12-03,09-22-02,162598.972689,469.0,715.8343695930726
2015-12-03,09-24-01,162755.77672,471.0,721.8465017976474
2015-12-03,09-26-01,167008.926118,482.0,727.843862939871
2015-12-03,09-28-01,162366.891753,487.0,733.7747630626025
2015-12-03,09-30-01,161589.875611,489.0,739.6383238852608
2015-12-03,09-32-01,158710.761369,476.0,745.433678565311
2015-12-03,09-34-02,167200.523682,487.0,751.2074101129969
2015-12-03,09-36-01,168386.158931,454.0,756.8164110276297
2015-12-03,09-38-01,159101.768744,512.0,762.4021523590338
2015-12-03,09-40-01,159255.140322,513.0,767.9164112057213
2015-12-03,09-42-01,166301.693649,524.0,773.3584146470542
2015-12-03,09-44-01,154700.195478,564.0,778.7274058100131
2015-12-03,09-46-01,162817.670444,575.0,784.0226458553954
2015-12-03,09-48-01,229457.88918,571.0,789.2434140904298
2015-12-03,09-50-01,182931.157589,656.0,794.389008066347
2015-12-03,09-52-01,178458.415908,606.0,799.4587453835038
2015-12-03,09-54-01,275169.058889,682.0,804.4519570401397
2015-12-03,09-56-01,217664.655296,640.0,809.3679977072586
2015-12-03,09-58-01,219711.415083,649.0,814.2062390473739
2015-12-03,10-00-01,225324.984455,607.0,818.9660730891006
2015-12-03,10-01-01,191707.282533,666.0,821.3164006437623
2015-12-03,10-02-01,221738.898172,701.0,823.6469059653728
2015-12-03,10-03-02,247232.718742,719.0,825.9958592401177
2015-12-03,10-04-01,254411.469658,722.0,828.2481676343078
2015-12-03,10-05-02,276884.874902,733.0,830.5564591712492
2015-12-03,10-06-01,269244.895244,758.0,832.7693055139126
2015-12-03,10-07-01,167507.164972,359.0,834.999660595337
2015-12-03,10-08-01,300384.129213,359.0,837.2097862179534
2015-12-03,10-09-02,297883.825787,359.0,839.4359434417844
2015-12-03,10-10-01,257041.688693,359.0,841.5690956328641
2015-12-03,10-11-01,212300.991602,726.0,843.7181557276745
2015-12-03,10-12-01,282804.49648,733.0,845.846738980404
2015-12-03,10-13-00,284896.809293,731.0,847.9198226419913
2015-12-03,10-14-01,230211.497902,749.0,850.0422423200343
2015-12-03,10-15-01,243097.910062,749.0,852.1090470249067
2015-12-03,10-16-01,254183.233052,749.0,854.1551469563138
2015-12-03,10-17-01,240327.25045,749.0,856.1804881883497
2015-12-03,10-18-01,214968.930542,693.0,858.185018012257
2015-12-03,10-19-02,223320.85403,675.0,860.2015688433397
2015-12-03,10-20-01,218608.977824,682.0,862.131438741816
2015-12-03,10-22-01,222958.281262,694.0,865.9940120154362
2015-12-03,10-24-01,190201.263169,693.0,869.7723615963899
2015-12-03,10-26-01,153431.953807,694.0,873.4661270574335
2015-12-03,10-28-01,163737.7529,218.0,877.0749714152699
2015-12-03,10-30-01,84497.6966187,224.0,880.5985759475038
2015-12-03,10-32-01,245050.30037,719.0,884.0366414410158
2015-12-03,10-34-01,196735.852597,701.0,887.3888880874052
2015-12-03,10-36-01,170524.658906,668.0,890.6550553611382
2015-12-03,10-38-01,148390.056171,668.0,893.8349029452376
2015-12-03,10-40-01,143541.977667,686.0,896.9282062956237
2015-12-03,10-42-01,182238.665081,701.0,899.9347628338138
2015-12-03,10-44-01,150175.582362,700.0,902.8543874097612
2015-12-03,10-46-01,180309.247033,703.0,905.6869140097499
2015-12-03,10-48-01,172691.708453,740.0,908.4321916597
2015-12-03,10-50-01,207051.517242,766.0,911.0900897456098
2015-12-03,10-52-01,287129.03176,766.0,913.660493748134
2015-12-03,10-54-01,230569.57909,766.0,916.1433057516005
2015-12-03,10-56-01,100794.876409,236.0,918.5384438802
2015-12-03,10-58-01,180245.074783,227.0,920.8458417342089
2015-12-03,11-00-01,81141.4538111,241.0,923.0654484833885
2015-12-03,11-02-01,38014.3480489,221.0,925.1972252100928
2015-12-03,11-04-01,127791.377664,248.0,927.2411486405293
2015-12-03,11-06-01,112060.644222,248.0,929.1972073183754
2015-12-03,11-08-01,97299.8492833,269.0,931.0654021241104
2015-12-03,11-10-01,294721.124689,271.0,932.8457428813188
2015-12-03,11-12-01,265981.682942,851.0,934.5382511560464
2015-12-03,11-14-02,226387.901746,902.0,936.1559603988225
2015-12-03,11-16-01,217418.505643,851.0,937.6598971197155
2015-12-03,11-18-01,235047.649689,863.0,939.089116631704
2015-12-03,11-20-01,214474.103307,849.0,940.4306651159915
2015-12-03,11-22-01,102926.666753,861.0,941.6845973015021
2015-12-03,11-24-01,41481.1040155,206.0,942.8509699945565
2015-12-03,11-26-01,76781.5396,225.0,943.9298434466165
2015-12-03,11-28-01,78567.1045067,236.0,944.921278508974
2015-12-03,11-30-01,233022.780999,239.0,945.8253362415885
2015-12-03,11-32-01,280160.458609,918.0,946.6420756303902
2015-12-03,11-34-01,161562.905714,339.0,947.371554377369
2015-12-03,11-36-01,211401.799406,285.0,948.0138266581655
2015-12-03,11-38-01,66533.7800911,237.0,948.5689425217181
2015-12-03,11-40-01,98296.5319361,255.0,949.0369470507699
2015-12-03,11-42-01,207635.027179,860.0,949.4178796015794
2015-12-03,11-44-01,209993.628324,865.0,949.7117732412381
2015-12-03,11-46-01,210213.296487,840.0,949.9186538306498
2015-12-03,11-48-01,125255.021008,853.0,950.0385401972918
2015-12-03,11-50-01,152573.478653,190.0,950.0714433979938
2015-12-03,11-52-01,212898.778592,856.0,950.017366656861
2015-12-03,11-54-01,84750.9016689,856.0,949.8763052540801
2015-12-03,11-56-01,128058.199431,221.0,949.6482468237627
2015-12-03,11-58-01,220457.121127,823.0,949.3331712831059
2015-12-03,12-00-01,236129.868946,830.0,948.9310513253281
2015-12-03,12-01-01,129311.809284,830.0,948.6973392834292
2015-12-03,12-02-01,219533.1849,830.0,948.441852847544
